Citation	author	date_paper_published	title	link	bioproject	instrument	median_gb_untargeted	total_gb_untargeted	bp_method
Cantalupo et al., 2011	Cantalupo	2011-10-4	Raw Sewage Harbors Diverse Viral Populations	https://journals.asm.org/doi/10.1128/mbio.00180-11	PRJNA70623	454 GS FLX Titanium	0.4	1.1	SRA
Ng et al., 2012	Ng	2012-11-15	High Variety of Known and New RNA and DNA Viruses of Diverse Origins in Untreated Sewage	https://journals.asm.org/doi/full/10.1128/jvi.00869-12	PRJNA169010	454 GS FLX Titanium	0.2	0.8	SRA
Bibby et al., 2013	Bibby	2013-01-24	Identification of Viral Pathogen Diversity in Sewage Sludge by Metagenome Analysis	https://pubs.acs.org/doi/10.1021/es305181x		Illumina HiSeq 2000	3.2	38.7	estimated: Total 38.7 Gb from paper (3 HiSeq runs: 2 PE + 1 SE, 76bp reads). Median calculated by apportioning total bp across 12 samples proportional to read counts from SI Table S2.
Hjelmso et al., 2017	Hjelmso	2017-01-18	Evaluation of Methods for the Concentration and Extraction of Viruses from Sewage in the Context of Metagenomic Sequencing	https://doi.org/10.1371%2Fjournal.pone.0170199	PRJEB15242	Illumina MiSeq	0.9	40.9	estimated: Raw read counts from SI Table S1 (46 samples, 16 method combinations in triplicate, excluding controls), multiplied by 250bp MiSeq read length.
Fernandez-Cassi et al., 2018	Fernandez-Cassi	2018-03-15	Metagenomics for the study of viruses in urban sewage as a tool for public health surveillance	https://pubmed.ncbi.nlm.nih.gov/29108696/		Illumina MiSeq	0.3	1.2	reported: Nucleotide counts from SI table (3 seasonal samples: winter, spring, summer from Barcelona WWTP). MiSeq raw reads.
Adriaenssens et al., 2018	Adriaenssens	2018-05-22	Viromic Analysis of Wastewater Input to a River Catchment Reveals a Diverse Assemblage of RNA Viruses	https://doi.org/10.1128/msystems.00025-18	PRJNA421889	Illumina HiSeq 4000	0.1	0.7	SRA
Maritz et al., 2019	Maritz	2019-07-09	Patterns of protist diversity associated with raw sewage in New York City	https://doi.org/10.1038/s41396-019-0467-z	PRJEB28033	Illumina HiSeq	5.1	86.4	SRA
Martínez-Puchol et al., 2020	Martínez-Puchol	2020-04-15	Characterisation of the sewage virome: comparison of NGS tools and occurrence of significant pathogens	https://doi.org/10.1016/j.scitotenv.2020.136604		Illumina MiSeq			
Gulino et al., 2020	Gulino	2020-06-16	Initial Mapping of the New York City Wastewater Virome	https://doi.org/10.1128/msystems.00876-19	PRJEB28033	Illumina HiSeq	5.1	86.4	SRA
Nieuwenhuijse et al., 2020	Nieuwenhuijse	2020-08-13	Setting a baseline for global urban virome surveillance in sewage	https://doi.org/10.1038/s41598-020-69869-0	PRJEB23496	multiple: (1) Ion Torrent S5XL, (2) Illumina HiSeq 4000	1.4	146.4	SRA
Guajardo-Leiva et al., 2020	Guajardo-Leiva	2020-09-21	Metagenomic Insights into the Sewage RNA Virosphere of a Large City	https://doi.org/10.3390/v12091050	PRJNA648644	Illumina NovaSeq 6000	6.8	6.8	SRA
Brinch et al., 2020	Brinch	2020-10-20	Long-Term Temporal Stability of the Resistome in Sewage from Copenhagen	https://doi.org/10.1128/msystems.00841-20	PRJEB34633	multiple: (1) Illumina MiSeq, (2) Illumina NextSeq	4.1	27.6	SRA
Wang et al., 2020	Wang	2020-11-24	Variations among Viruses in Influent Water and Effluent Water at a Wastewater Plant over One Year as Assessed by Quantitative PCR and Metagenomics	https://doi.org/10.1128/AEM.02073-20		Illumina HiSeq 4000	1.8	23.6	estimated: Only effluent samples (n=11) were sequenced by NGS; influent was qPCR only. Total reads from Table 3 (157,089,212) × 150bp (HiSeq 4000 assumed 2x150bp, assuming individual reads). SISPA untargeted.
Crits-Christoph et al., 2021	Crits-Christoph	2021-01-19	Genome Sequencing of Sewage Detects Regionally Prevalent SARS-CoV-2 Variants	https://doi.org/10.1128/mbio.02703-20	PRJNA661613	Illumina NextSeq 550	6.3	45.2	SRA
Rothman et al., 2021	Rothman	2021-11-10	RNA Viromics of Southern California Wastewater and Detection of SARS-CoV-2 Single-Nucleotide Variants	https://doi.org/10.1128/AEM.01448-21	PRJNA729801	Illumina NovaSeq 6000	3.9	1189.4	SRA
Spurbeck et al., 2023	Spurbeck	2023-03-22	Analysis of metatranscriptomic methods to enable wastewater-based biosurveillance of all infectious diseases	https://doi.org/10.3389/fpubh.2023.1145275	PRJNA924011	multiple: Illumina NextSeq 500/550, Oxford Nanopore MinION			SRA: Illumina NextSeq 429.67 Gb (55 runs) + ONT MinION 12.71 Gb (56 runs). SRA metadata does not distinguish untargeted vs hybrid capture Illumina (all labeled library_selection=RANDOM). Excludes amplicon data. 10 sites x 6 weeks.
Schaeffer et al., 2023	Schaeffer	2023-04-25	Looking into sewage: how far can metagenomics help to detect human enteric viruses?	https://doi.org/10.3389/fmicb.2023.1161674		Illumina NextSeq 500			estimated: Raw read counts from SI Table 1 (12 samples from 6 WWTPs, 2006-2016, using merged technical replicates), multiplied by 150bp (2x150bp NextSeq). VirCapSeq-Vert enriched.
Stockdale et al., 2023	Stockdale	2023-05-08	RNA-Seq of untreated wastewater to assess COVID-19 and emerging and endemic viruses for public health surveillance	https://doi.org/10.1016/j.lansea.2023.100205	PRJNA842541	Illumina HiSeq 2500	5.6	771.8	SRA
McCall et al., 2023	McCall	2023-08-09	Targeted Metagenomic Sequencing for Detection of Vertebrate Viruses in Wastewater for Public Health Surveillance	https://pubs.acs.org/doi/10.1021/acsestwater.3c00183	PRJNA943189	Illumina NovaSeq	10.8	21.6	SRA
Child et al., 2023	Child	2023-10-25	Comparison of metagenomic and targeted methods for sequencing human pathogenic viruses from wastewater	https://doi.org/10.1128/mbio.01468-23	PRJEB62830	multiple: (1) Illumina NovaSeq 6000 for shotgun/hybrid-capture, (2) Illumina MiSeq for tiled-PCR amplicons			SRA
Tisza et al., 2023	Tisza	2023-10-28	Wastewater sequencing reveals community and variant dynamics of the collective human virome	https://doi.org/10.1038/s41467-023-42064-1	PRJNA966185	Illumina NovaSeq 6000			SRA
Fernandez-Cassi et al., 2024	Fernandez-Cassi	2024-04-22	Comparison of Three Viral Nucleic Acid Preamplification Pipelines for Sewage Viral Metagenomics	https://pmc.ncbi.nlm.nih.gov/articles/PMC11422458/	PRJNA948647	Illumina MiSeq	0.8	12.4	SRA
Smith et al., 2024	Smith	2024-05-07	Seasonality of respiratory, enteric, and urinary viruses revealed by wastewater genomic surveillance	https://pmc.ncbi.nlm.nih.gov/articles/PMC11237574/	PRJNA1070654	Illumina NextSeq2000			SRA
Wyler et al., 2024	Wyler	2024-07-14	Pathogen dynamics and discovery of novel viruses and enzymes by deep nucleic acid sequencing of wastewater	https://doi.org/10.1016/j.envint.2024.108875	PRJNA948850	Illumina NovaSeq 6000	2.5	307.5	estimated: Separated using SI Table S1 (mmc1.xlsx). RNA_ prefix = untargeted RNA-seq (116 samples, 307.50 Gb, median 2.46 Gb). xh_ prefix = xHYB capture (99 samples, 124.94 Gb, median 1.05 Gb). DNA_ prefix = DNA-seq (24 samples, 58.46 Gb). Total 490.90 Gb.
Tierney et al., 2024	Tierney	2024-09-27	Towards geospatially-resolved public-health surveillance via wastewater sequencing	https://www.nature.com/articles/s41467-024-52427-x	PRJNA946141	multiple: (1) Illumina NovaSeq 6000, (2) Illumina NextSeq 500, (3) Element AVITI	6.0	8235.1	SRA
Grimm et al., 2025	Grimm	2025-03-25	Deep Wastewater Metatranscriptomic Sequencing Data, Los Angeles, USA, 2023-2024	https://dx.doi.org/10.2139/ssrn.5187186	PRJNA1198001	multiple: (1) Illumina NovaSeq 6000, (2) NovaSeq X	327.3	13132.6	SRA
Guajardo-Leiva et al., 2025	Guajardo-Leiva	2025-07-01	From sewage to genomes: Expanding our understanding of the urban and semi-urban wastewater RNA virome	https://doi.org/10.1016/j.envres.2025.121509	PRJNA1196808	Illumina HiSeq	10.1	136.3	SRA
Worp et al., 2025	Worp	2025-11-08	Unveiling the global urban virome through wastewater metagenomics	https://www.nature.com/articles/s41467-025-65208-x	PRJEB87273	Illumina MiSeq	0.1	28.7	estimated: 638 runs from 314 samples. SRA metadata doesn't distinguish methods, but paper reports metagenomic has more reads than capture. Separated by assigning higher bp run per sample to metagenomic (311 samples, 28.68 Gb) and lower bp to GastroCap capture (311 samples, 15.27 Gb). Remaining 1.24 Gb from samples with ≠2 runs.
Bellekom et al., 2026	Bellekom	2026-01-20	Comparison of the sensitivity of targeted and untargeted (metagenomic) methods for the detection of viral pathogens in wastewater	https://doi.org/10.1016/j.scitotenv.2025.181333	PRJNA1261831	Oxford Nanopore MinION (R10.4.1 flow cells)			
Justen et al., 2026	Justen	2026-01-25	Deep untargeted wastewater metagenomic sequencing from sewersheds across the United States		PRJNA1247874	multiple: (1) Illumina NovaSeq 6000, (2) Illumina NovaSeq X	279.4	346755.8	SRA
