Sampling site	sequencing_lab	N (weeks)	SARS-CoV-2 R (Raw)	SARS-CoV-2 p (Raw)	SARS-CoV-2 R (PMMoV)	SARS-CoV-2 p (PMMoV)	SARS-CoV-2 R (ToBRFV)	SARS-CoV-2 p (ToBRFV)	Influenza A R (Raw)	Influenza A p (Raw)	Influenza A R (PMMoV)	Influenza A p (PMMoV)	Influenza A R (ToBRFV)	Influenza A p (ToBRFV)	RSV R (Raw)	RSV p (Raw)	RSV R (PMMoV)	RSV p (PMMoV)	RSV R (ToBRFV)	RSV p (ToBRFV)	Median PCR freq (days)	Median MGS freq (days)
Boston DITP North, MA	MU	50	-0.19164465786314525	0.18244862470010934	0.68	5.59732920052446e-08	0.7522208883553421	3.019681256562739e-10	0.5573119515513799	2.6227621213083857e-05	0.6991232034559144	1.631397491175707e-08	0.6986410162682076	1.6848816926045943e-08	0.7236874605303694	2.887643910909946e-09	0.8316897676027432	7.419979397359872e-14	0.8245350311690529	1.8495653085083037e-13	2	7
Boston DITP South, MA	MU	50	-0.2154621848739496	0.13290983650859503	0.7140936374549821	5.8010742631533685e-09	0.7230252100840336	3.032908944253097e-09	0.62485862250801	1.2327035215957397e-06	0.7782126450565275	2.914476128455208e-11	0.7667460232008735	8.483704331486831e-11	0.4884525542333518	0.00031970619846873754	0.5850548669845148	8.115661388354824e-06	0.5731341514837314	1.3611027627754021e-05	2	7
Chicago (CHI-A), IL	MU	69	-0.23412495432955793	0.052835514115093914	0.36620387285348927	0.001970731922746442	0.3737668980635733	0.0015587139200629058	0.2816514175937683	0.019052110689944488	0.238924571559548	0.04802634880907506	0.2368219256265579	0.05008697138183607	0.7389513758199818	4.201211910275952e-13	0.7327466283282644	8.252898172800623e-13	0.7348653225937288	6.567450525901154e-13	4	7
Chicago (CHI-B), IL	MU	63	0.21193356374807987	0.09541780712462253	0.8341013824884793	2.1034231422110032e-17	0.8464381720430108	2.410251417682598e-18	0.22049754711855798	0.08246807995840237	0.3102318138428009	0.013343637318391834	0.30828846209999106	0.0139651395765455	0.5227319718874196	1.1084719583399229e-05	0.5170142254639506	1.4353085756388154e-05	0.5229918694521227	1.09540678255048e-05	4	7
Chicago (CHI-D1), IL	MU	63	0.03809089491075597	0.7669319617289388	0.5019981518956907	2.7683592670055054e-05	0.6648265268639129	2.811561912194109e-09	0.5509502249966617	2.8838978007586778e-06	0.5833476748875072	5.239068834797476e-07	0.5969572640479862	2.418345119195356e-07	0.1246912278452811	0.33020851555890174	0.24136568280983292	0.056689473591683	0.21070582672835655	0.0973977226313826	4	7
Chicago (CHI-D2), IL	MU	63	0.022489709219520065	0.8611157571249226	0.5568183182322796	2.145723468981653e-06	0.5847084378833814	4.857048050831163e-07	0.5156666463460478	1.524404577299685e-05	0.5704583279510901	1.055452247258586e-06	0.561421807995329	1.6947726458976544e-06	0.4576825301536029	0.0001623163988237689	0.4592567977682651	0.0001530524356791721	0.4115421775202316	0.0008054501960933821	4	7
Ottumwa WPCF, IA	MU	31	0.6830645161290324	2.292173819868463e-05	0.8729838709677421	1.511518721804679e-10	0.8774193548387097	9.29927435374162e-11	0.36959371092152365	0.04072249234859982	0.6764794872567986	2.942812169954259e-05	0.6305071107755617	0.00014356636086134227	0.7902972454751728	1.2354093919153474e-07	0.8471409550262587	1.8627574254673098e-09	0.9078025256665968	1.829039766549084e-12	2	7
Columbia WWTP, MO	MU	101	0.8005008736167734	9.690251710567112e-24	0.7791729761211414	8.414647401018921e-22	0.7619918462434478	2.1702555392120498e-20	0.5370902137427065	1.1503661647136027e-06	0.5754832882070199	1.236407673331778e-07	0.5880933302598148	5.575114944998522e-08	0.7047191936041757	2.7888205336787946e-16	0.6979316769711436	7.05001207361164e-16	0.7550131835179151	1.1528664423512169e-19	7	7
Kansas City Westside WWTP, MO	MU	9	0.26666666666666666	0.4879222748387009	0.43333333333333335	0.2439524358800516	0.45	0.22421610749233667	0.8728715609439694	0.004659214943993945	0.8728715609439694	0.004659214943993945	0.8728715609439694	0.004659214943993945	0.6024533658898499	0.11396448084515579	0.554257096618662	0.1539883457589951	0.6024533658898499	0.11396448084515579	7	7
Monett WWTP, MO	MU	24	0.84	2.8350449822926813e-07	0.7113043478260868	9.748053906858484e-05	0.5252173913043477	0.008402700736251656	0.6052099385894467	0.002214798394886972	0.6052099385894467	0.002214798394886972	0.6052099385894467	0.002214798394886972	0.3224111636798169	0.12440772198154329	0.3224111636798169	0.12440772198154329	0.3224111636798169	0.12440772198154329	7	7
Riverside WQCP, CA	MU	41	0.24547038327526138	0.12187640046785574	0.8688153310104532	1.8012883032954096e-13	0.7846689895470385	1.2691182443621614e-09	0.8650881456709199	3.0038868425080946e-13	0.9047946988933845	4.849403311263304e-16	0.8979931133876845	1.7492932996964091e-15	0.9174415515487904	3.380695045082994e-17	0.9246358129780218	6.100822457829433e-18	0.8954949840715447	2.7399728217780626e-15	2	4
Boise RWF, ID	MU	42	0.026821165221618995	0.866106912886762	0.5917672797990439	3.666871551472818e-05	0.7970991005591119	2.6794785736572233e-10	0.5664239742218405	9.221727776907012e-05	0.7175518378941186	8.913397552261236e-08	0.7276541856544217	4.77588233669083e-08	0.5595599974708364	0.00011688069240673566	0.680329517953006	7.179878743648246e-07	0.7618775432853504	4.61999404776322e-09	2	7
Boston DITP North, MA	SB	29	0.706244616762326	1.860603503756609e-05	0.6505727355665515	0.0001329778245166903	0.6564847937466336	0.00010997545719146694	0.892717372711353	7.596044724802518e-11	0.892717372711353	7.596044724802518e-11	0.892717372711353	7.596044724802518e-11	0.7909284476684665	3.2814663641200906e-07	0.8069794798464829	1.2364806117754386e-07	0.8069794798464829	1.2364806117754386e-07	2	7
Boston DITP South, MA	SB	29	0.5224249032723067	0.003646308401868219	0.32281916192769905	0.08762928769646312	0.31394779564571645	0.09721067828645777	0.6467795975609579	0.0001498944570999552	0.7500309394740037	2.8102408373929776e-06	0.7500309394740037	2.8102408373929776e-06	0.755834944472428	2.125376402967483e-06	0.7773907491045485	7.017192124226923e-07	0.7773907491045485	7.017192124226923e-07	2	7
Miami-Dade CDWWTP, FL	SB	26	0.5535042735042734	0.00335408571052317	0.6895726495726495	9.742665583386127e-05	0.591111111111111	0.001472974058953949													2	7
